category_context,record_count,gross_sales,net_sales,gross_to_net_reduction,discount_reduction,refund_reduction,repayment_recovery,validated_margin_record_count,validated_net_sales,validated_cogs,validated_gross_profit,validated_weighted_margin_pct,missing_profitability_record_count,missing_profitability_sales_exposure,zero_cogs_record_count,zero_cogs_sales_exposure,configuration_anomaly_record_count,configuration_anomaly_sales_exposure,absolute_configuration_gap,negative_margin_record_count,absolute_negative_gross_profit,low_margin_record_count,low_margin_sales_associated,manual_negative_adjustment_count,manual_negative_adjustment_amount,catalog_actionable_record_count,catalog_actionable_sales_associated,label_standardization_record_count,critical_finding_record_count,high_finding_record_count,positive_sales_outside_validated_margin,outside_validated_margin_pct_of_category_sales,catalog_actionable_sales_pct_of_category_sales,category_priority_amount,category_priority_rank
2. Restaurant,140,743874.55,734953.4299999999,8921.120000000019,8520.35,597.3199999999999,196.55,101,672278.5799999998,263449.06999999995,408829.5099999999,60.81251465724223,17,17371.29,17,45303.56,0,0.0,0.0,1,12.74,5,2746.62,0,0.0,4,708.31,0,19,55,62674.85,8.52773079785477,0.09637481384364721,72304.28000000001,1
1.03 Beverages,212,104712.95999999999,100948.73000000001,3764.230000000001,3536.4500000000003,230.27,2.49,151,60230.770000000004,38097.43,22133.340000000004,36.747562749073275,41,27530.48,20,13187.48,0,0.0,0.0,3,104.24000000000001,5,3423.79,0,0.0,14,9176.400000000001,1,28,47,40717.96,40.33528703134749,9.090158935134697,53658.590000000004,2
1.25 Sweets & Candies,292,93930.5,91331.85,2598.65,2482.5899999999997,116.05999999999999,0.0,205,76632.91,47675.240000000005,28957.67,37.787511918834866,77,12665.720000000001,9,1520.49,1,512.73,2.2400000000000375,6,83.13,12,1580.22,0,0.0,39,8891.12,4,11,60,14698.94,16.09399130752306,9.734961024002033,26188.71,3
3.Coffee160,56,31900.299999999996,31251.689999999995,648.6100000000006,638.71,9.899999999999999,0.0,22,6409.439999999999,4386.25,2023.1900000000003,31.565784218278054,10,2870.6800000000003,23,21971.57,0,0.0,0.0,0,0.0,7,3192.71,0,0.0,0,0.0,0,9,22,24842.25,79.4909011320668,0.0,25490.86,4
4.Bakery,144,262204.18000000005,255872.75,6331.430000000004,5990.2,341.23,0.0,119,238734.16000000003,117466.06000000001,121268.09000000001,50.79628738509814,11,6731.9800000000005,12,5025.2,2,5381.41,115.47999999999996,4,23.369999999999997,6,875.51,0,0.0,2,468.53,1,3,48,17138.59,6.698091141006614,0.1831105500683445,23938.550000000003,5
1.19 Peppers,17,22969.500000000004,22933.12,36.379999999999484,10.4,25.98,0.0,14,9996.470000000001,5437.45,4559.02,45.606299023555316,2,5741.450000000001,0,0.0,1,7195.2,4332.11,0,0.0,0,0.0,0,0.0,4,9277.28,0,3,1,12936.650000000001,56.41033579382134,40.45363212681048,22250.31,6
1.09 Cookies & Crackers,55,26628.490000000005,25843.810000000005,784.6799999999994,702.72,81.96000000000001,0.0,47,21209.940000000006,13986.390000000001,7223.55,34.0573806432267,8,4633.87,0,0.0,0,0.0,0.0,2,144.98000000000002,1,55.72,0,0.0,5,7544.9800000000005,3,3,7,4633.87,17.930289690258512,29.19453439721155,12963.529999999999,7
1.05 Chips & Snacks,140,90592.43000000001,86592.6,3999.8300000000004,3957.9,41.93,0.0,126,81797.82,52036.71,29761.109999999997,36.383744701264646,9,1942.5,0,0.0,4,2852.2799999999997,1921.2799999999997,5,121.96000000000001,10,6724.719999999999,0,0.0,12,3861.54,2,8,22,4794.78,5.537170612731341,4.459434177978257,12656.150000000001,8
1.10 Dairy,26,62151.26,56940.880000000005,5210.380000000001,5181.13,29.25,0.0,26,56940.880000000005,37968.670000000006,18972.199999999997,33.31911976070619,0,0.0,0,0.0,0,0.0,0.0,0,0.0,2,2078.79,0,0.0,2,1001.0799999999999,0,0,13,0.0,0.0,1.7581041950879575,6211.460000000001,9
Uncategorized,35,6430.409999999999,6297.48,132.92999999999995,38.870000000000005,94.06,0.0,5,1237.5000000000002,825.4899999999999,412.01000000000005,33.29373737373737,12,4225.24,2,926.81,0,0.0,0.0,0,0.0,0,0.0,16,92.07,2,767.55,1,7,17,5152.049999999999,81.8112959469502,12.188208616780045,6052.53,10
