source_row_id,source_csv_line,category_context,Name,gross_sales_final,net_sales_final,finding_code,finding_theme,finding_classification,finding_amount,finding_amount_basis,base_severity_weight,recommended_action,impact_percentile_within_type,priority_score,finding_priority,finding_priority_rank,global_finding_rank
1690,1706,1.19 Peppers,Chile Ancho  250 Gr,7210.19,7195.2,PROFIT_CONFIGURATION_ANOMALY,profitability_configuration,configuration_gap_not_confirmed_loss,4332.11,absolute_cogs_configuration_gap,60,"Reconcile item COGS, reported Gross Profit and POS configuration against source transactions.",100.0,100.0,critical,4,1
1646,1662,1.09 Cookies & Crackers,Nestle Cocosette Mini Wafer case 900g,1024.59,494.6,NEGATIVE_MARGIN,profitability_result,reported_negative_gross_profit,129.4,absolute_reported_negative_gross_profit,60,"Validate selling price, unit cost, discount policy and transaction detail.",100.0,100.0,critical,4,2
642,658,1.25 Sweets & Candies,Kinder Delice Cacao 1.48oz UNIT,1588.13,938.53,NEGATIVE_MARGIN,profitability_result,reported_negative_gross_profit,46.98,absolute_reported_negative_gross_profit,60,"Validate selling price, unit cost, discount policy and transaction detail.",96.7741935483871,98.70967741935485,critical,4,3
554,570,1.03 Beverages,Amargo Terma Limon Tea 1.35 Lt /46oz,215.82,107.82,NEGATIVE_MARGIN,profitability_result,reported_negative_gross_profit,41.4,absolute_reported_negative_gross_profit,60,"Validate selling price, unit cost, discount policy and transaction detail.",93.54838709677419,97.41935483870967,critical,4,4
990,1006,1.05 Chips & Snacks,"PakeTaxo Mezcladito 6 oz / 170 g ,",458.98,262.98,NEGATIVE_MARGIN,profitability_result,reported_negative_gross_profit,38.39,absolute_reported_negative_gross_profit,60,"Validate selling price, unit cost, discount policy and transaction detail.",90.32258064516128,96.12903225806451,critical,4,5
925,941,1.05 Chips & Snacks,La Visita Chicharrones 5 oz,1848.79,1848.79,PROFIT_CONFIGURATION_ANOMALY,profitability_configuration,configuration_gap_not_confirmed_loss,1461.6,absolute_cogs_configuration_gap,60,"Reconcile item COGS, reported Gross Profit and POS configuration against source transactions.",88.88888888888889,95.55555555555556,critical,4,6
16,32,2. Restaurant,Picanha Brazilian Steak,13415.37,13303.38,ZERO_COGS,profitability_data_quality,sales_exposure_not_confirmed_loss,13303.38,positive_net_sales_exposure,55,"Confirm recipes, purchase cost or item cost mapping; zero COGS is not accepted as validated margin.",100.0,95.0,critical,4,7
27,43,2. Restaurant,Tacos 4 Pack,7883.07,7863.08,MISSING_PROFITABILITY,profitability_data_quality,sales_exposure_not_confirmed_loss,7863.08,positive_net_sales_exposure,55,Load and validate COGS and Gross Profit; do not estimate loss until source cost is confirmed.,100.0,95.0,critical,4,8
569,585,1.03 Beverages,Terma Cuyano Tea 1.35 Lt/46oz,167.86,83.86,NEGATIVE_MARGIN,profitability_result,reported_negative_gross_profit,37.24,absolute_reported_negative_gross_profit,60,"Validate selling price, unit cost, discount policy and transaction detail.",87.09677419354838,94.83870967741936,critical,4,9
158,174,4.Bakery,160 Venezuelan Empanada pulled Beef/Carne Mechada,5099.22,4974.1,MISSING_PROFITABILITY,profitability_data_quality,sales_exposure_not_confirmed_loss,4974.1,positive_net_sales_exposure,55,Load and validate COGS and Gross Profit; do not estimate loss until source cost is confirmed.,99.5475113122172,94.81900452488688,critical,4,10
405,421,1.03 Beverages,Pony Malta 11.12 oz / 330 ml X6,4728.84,4725.84,MISSING_PROFITABILITY,profitability_data_quality,sales_exposure_not_confirmed_loss,4725.84,positive_net_sales_exposure,55,Load and validate COGS and Gross Profit; do not estimate loss until source cost is confirmed.,99.09502262443439,94.63800904977376,critical,4,11
25,41,2. Restaurant,Sopa de Tortilla - Tortilla Soup,8215.51,8153.28,ZERO_COGS,profitability_data_quality,sales_exposure_not_confirmed_loss,8153.28,positive_net_sales_exposure,55,"Confirm recipes, purchase cost or item cost mapping; zero COGS is not accepted as validated margin.",98.85057471264368,94.54022988505747,critical,4,12
1691,1707,1.19 Peppers,Guajillo sin cola  250 Gr,4406.99,4393.8,MISSING_PROFITABILITY,profitability_data_quality,sales_exposure_not_confirmed_loss,4393.8,positive_net_sales_exposure,55,Load and validate COGS and Gross Profit; do not estimate loss until source cost is confirmed.,98.64253393665159,94.45701357466064,critical,4,13
1632,1648,1.09 Cookies & Crackers,Nestle Cocosette  8pack X8 PACK,3395.91,3390.51,MISSING_PROFITABILITY,profitability_data_quality,sales_exposure_not_confirmed_loss,3390.51,positive_net_sales_exposure,55,Load and validate COGS and Gross Profit; do not estimate loss until source cost is confirmed.,98.19004524886877,94.27601809954751,critical,4,14
46,62,2. Restaurant,Jugo Natural - Natural Juice Kiosk,3234.0,3181.04,MISSING_PROFITABILITY,profitability_data_quality,sales_exposure_not_confirmed_loss,3181.04,positive_net_sales_exposure,55,Load and validate COGS and Gross Profit; do not estimate loss until source cost is confirmed.,97.73755656108597,94.09502262443439,critical,4,15
33,49,2. Restaurant,Sopa de Tortillas con Pollo,6628.69,6560.44,ZERO_COGS,profitability_data_quality,sales_exposure_not_confirmed_loss,6560.44,positive_net_sales_exposure,55,"Confirm recipes, purchase cost or item cost mapping; zero COGS is not accepted as validated margin.",97.70114942528735,94.08045977011494,critical,4,16
411,427,1.03 Beverages,Maltin Polar 12 oz X6,2322.34,2319.54,MISSING_PROFITABILITY,profitability_data_quality,sales_exposure_not_confirmed_loss,2319.54,positive_net_sales_exposure,55,Load and validate COGS and Gross Profit; do not estimate loss until source cost is confirmed.,97.28506787330316,93.91402714932127,critical,4,17
414,430,1.03 Beverages,Coca Cola 12oz / 355ml x Unit,2058.84,2048.65,MISSING_PROFITABILITY,profitability_data_quality,sales_exposure_not_confirmed_loss,2048.65,positive_net_sales_exposure,55,Load and validate COGS and Gross Profit; do not estimate loss until source cost is confirmed.,96.83257918552036,93.73303167420815,critical,4,18
38,54,2. Restaurant,Carne Sudada,5437.94,5338.94,ZERO_COGS,profitability_data_quality,sales_exposure_not_confirmed_loss,5338.94,positive_net_sales_exposure,55,"Confirm recipes, purchase cost or item cost mapping; zero COGS is not accepted as validated margin.",96.55172413793103,93.62068965517241,critical,4,19
416,432,1.03 Beverages,Postobon Colombiana Glass 300ml Case,1836.0,1829.4,MISSING_PROFITABILITY,profitability_data_quality,sales_exposure_not_confirmed_loss,1829.4,positive_net_sales_exposure,55,Load and validate COGS and Gross Profit; do not estimate loss until source cost is confirmed.,96.38009049773756,93.55203619909503,critical,4,20
1218,1234,1.23 Sauces,Delicioso Foods Green Sauce 4 L,239.96,119.96,NEGATIVE_MARGIN,profitability_result,reported_negative_gross_profit,36.48,absolute_reported_negative_gross_profit,60,"Validate selling price, unit cost, discount policy and transaction detail.",83.87096774193549,93.54838709677419,critical,4,21
417,433,1.03 Beverages,Maltin Polar 7oz X6,1714.44,1714.44,MISSING_PROFITABILITY,profitability_data_quality,sales_exposure_not_confirmed_loss,1714.44,positive_net_sales_exposure,55,Load and validate COGS and Gross Profit; do not estimate loss until source cost is confirmed.,95.92760180995475,93.3710407239819,critical,4,22
1319,1335,1.07 Condiments & Spices,UMS Oregano 50 Gr,1617.0,1615.8,MISSING_PROFITABILITY,profitability_data_quality,sales_exposure_not_confirmed_loss,1615.8,positive_net_sales_exposure,55,Load and validate COGS and Gross Profit; do not estimate loss until source cost is confirmed.,95.47511312217195,93.19004524886878,critical,4,23
1489,1505,3.Coffee160,160 Americano 12oz,3943.64,3837.84,ZERO_COGS,profitability_data_quality,sales_exposure_not_confirmed_loss,3837.84,positive_net_sales_exposure,55,"Confirm recipes, purchase cost or item cost mapping; zero COGS is not accepted as validated margin.",95.40229885057471,93.16091954022988,critical,4,24
422,438,1.03 Beverages,Topo Chico Mineral Water 355ml x Unit,1432.41,1377.66,MISSING_PROFITABILITY,profitability_data_quality,sales_exposure_not_confirmed_loss,1377.66,positive_net_sales_exposure,55,Load and validate COGS and Gross Profit; do not estimate loss until source cost is confirmed.,95.02262443438913,93.00904977375565,critical,4,25
1694,1710,1.19 Peppers,Chile Pasilla Negro 150g 150 Gr,1348.65,1347.65,MISSING_PROFITABILITY,profitability_data_quality,sales_exposure_not_confirmed_loss,1347.65,positive_net_sales_exposure,55,Load and validate COGS and Gross Profit; do not estimate loss until source cost is confirmed.,94.57013574660633,92.82805429864253,critical,4,26
1490,1506,3.Coffee160,160 Latte 12oz,2875.32,2847.64,ZERO_COGS,profitability_data_quality,sales_exposure_not_confirmed_loss,2847.64,positive_net_sales_exposure,55,"Confirm recipes, purchase cost or item cost mapping; zero COGS is not accepted as validated margin.",94.25287356321839,92.70114942528735,critical,4,27
424,440,1.03 Beverages,Maltin Polar 12 oz Maltin Polar 12 oz unit,1333.54,1324.25,MISSING_PROFITABILITY,profitability_data_quality,sales_exposure_not_confirmed_loss,1324.25,positive_net_sales_exposure,55,Load and validate COGS and Gross Profit; do not estimate loss until source cost is confirmed.,94.11764705882352,92.6470588235294,critical,4,28
65,81,2. Restaurant,Bacon Egg & Cheese Breakfast Sandwich,1284.0,1272.0,MISSING_PROFITABILITY,profitability_data_quality,sales_exposure_not_confirmed_loss,1272.0,positive_net_sales_exposure,55,Load and validate COGS and Gross Profit; do not estimate loss until source cost is confirmed.,93.66515837104072,92.46606334841628,critical,4,29
428,444,1.03 Beverages,Guarana Antartica 355 ML X12,1179.41,1179.41,MISSING_PROFITABILITY,profitability_data_quality,sales_exposure_not_confirmed_loss,1179.41,positive_net_sales_exposure,55,Load and validate COGS and Gross Profit; do not estimate loss until source cost is confirmed.,93.21266968325791,92.28506787330316,critical,4,30
1021,1037,1.05 Chips & Snacks,Barcel Runners Original Chile Limon - 200 Gr,243.75,121.75,NEGATIVE_MARGIN,profitability_result,reported_negative_gross_profit,35.5,absolute_reported_negative_gross_profit,60,"Validate selling price, unit cost, discount policy and transaction detail.",80.64516129032258,92.25806451612902,critical,4,31
