source_row_id,source_csv_line,category_context,Name,gross_sales_final,net_sales_final,gross_to_net_reduction_final,cogs_final,gross_profit_final,gross_margin_pct_final,corrected_profitability_scope_status,presentation_type_corrected,catalog_finding_class,final_audit_priority,maximum_priority_score,finding_count,distinct_finding_type_count,finding_codes,recommended_actions,priority_queue_rank
1690,1706,1.19 Peppers,Chile Ancho  250 Gr,7210.19,7195.2,14.989999999999782,1359.92,1503.17,,positive_sales_with_configuration_anomaly,weight_based,actionable_review_candidate,critical,100.0,3,3,CATALOG_ACTIONABLE | PROFIT_CONFIGURATION_ANOMALY | REVENUE_REDUCTION,"Reconcile item COGS, reported Gross Profit and POS configuration against source transactions. | Validate SKU/UPC, presentation, duplicate status and pack-size configuration before any merge. | Validate discount/refund authorization, business purpose and policy compliance.",1
1646,1662,1.09 Cookies & Crackers,Nestle Cocosette Mini Wafer case 900g,1024.59,494.6,529.9899999999999,624.0,-129.4,-26.162555600485245,validated_consistent_positive_sales_positive_cogs,pack_or_case_count_unresolved,actionable_review_candidate,critical,100.0,3,3,CATALOG_ACTIONABLE | NEGATIVE_MARGIN | REVENUE_REDUCTION,"Validate SKU/UPC, presentation, duplicate status and pack-size configuration before any merge. | Validate discount/refund authorization, business purpose and policy compliance. | Validate selling price, unit cost, discount policy and transaction detail.",2
642,658,1.25 Sweets & Candies,Kinder Delice Cacao 1.48oz UNIT,1588.13,938.53,649.6000000000001,985.51,-46.98,-5.005700403823,validated_consistent_positive_sales_positive_cogs,explicit_single_unit,no_catalog_finding,critical,98.70967741935485,2,2,NEGATIVE_MARGIN | REVENUE_REDUCTION,"Validate discount/refund authorization, business purpose and policy compliance. | Validate selling price, unit cost, discount policy and transaction detail.",3
554,570,1.03 Beverages,Amargo Terma Limon Tea 1.35 Lt /46oz,215.82,107.82,108.0,149.22,-41.4,-38.39732888146912,validated_consistent_positive_sales_positive_cogs,volume_based,no_catalog_finding,critical,97.41935483870967,2,2,NEGATIVE_MARGIN | REVENUE_REDUCTION,"Validate discount/refund authorization, business purpose and policy compliance. | Validate selling price, unit cost, discount policy and transaction detail.",4
990,1006,1.05 Chips & Snacks,"PakeTaxo Mezcladito 6 oz / 170 g ,",458.98,262.98,196.0,301.37,-38.39,-14.598068294166854,validated_consistent_positive_sales_positive_cogs,weight_based,no_catalog_finding,critical,96.12903225806451,2,2,NEGATIVE_MARGIN | REVENUE_REDUCTION,"Validate discount/refund authorization, business purpose and policy compliance. | Validate selling price, unit cost, discount policy and transaction detail.",5
925,941,1.05 Chips & Snacks,La Visita Chicharrones 5 oz,1848.79,1848.79,0.0,254.51,132.68,,positive_sales_with_configuration_anomaly,weight_based,informational_family_variant,critical,95.55555555555556,1,1,PROFIT_CONFIGURATION_ANOMALY,"Reconcile item COGS, reported Gross Profit and POS configuration against source transactions.",6
16,32,2. Restaurant,Picanha Brazilian Steak,13415.37,13303.38,111.9900000000016,0.0,13303.38,,positive_sales_with_zero_cogs,presentation_not_explicit,no_catalog_finding,critical,95.0,2,2,REVENUE_REDUCTION | ZERO_COGS,"Confirm recipes, purchase cost or item cost mapping; zero COGS is not accepted as validated margin. | Validate discount/refund authorization, business purpose and policy compliance.",7
27,43,2. Restaurant,Tacos 4 Pack,7883.07,7863.08,19.98999999999978,,,,positive_sales_without_complete_profitability,explicit_multipack,no_catalog_finding,critical,95.0,2,2,MISSING_PROFITABILITY | REVENUE_REDUCTION,"Load and validate COGS and Gross Profit; do not estimate loss until source cost is confirmed. | Validate discount/refund authorization, business purpose and policy compliance.",8
569,585,1.03 Beverages,Terma Cuyano Tea 1.35 Lt/46oz,167.86,83.86,84.00000000000001,121.1,-37.24,-44.40734557595994,validated_consistent_positive_sales_positive_cogs,volume_based,no_catalog_finding,critical,94.83870967741936,2,2,NEGATIVE_MARGIN | REVENUE_REDUCTION,"Validate discount/refund authorization, business purpose and policy compliance. | Validate selling price, unit cost, discount policy and transaction detail.",9
158,174,4.Bakery,160 Venezuelan Empanada pulled Beef/Carne Mechada,5099.22,4974.1,125.11999999999989,,,,positive_sales_without_complete_profitability,presentation_not_explicit,no_catalog_finding,critical,94.81900452488688,2,2,MISSING_PROFITABILITY | REVENUE_REDUCTION,"Load and validate COGS and Gross Profit; do not estimate loss until source cost is confirmed. | Validate discount/refund authorization, business purpose and policy compliance.",10
